관서명,강간,강도,살인,절도,폭력,구 별,인구수
인천중부경찰서,136.0,3.6,3.4,817.0,3380.2,중구,225538.0
인천남동경찰서,357.6,11.4,6.8,1888.6,6499.8,남동구,545131.0
인천부평경찰서,227.2,7.8,6.4,1082.4,3735.4,부평구,526126.0
인천서부경찰서,265.4,9.0,7.6,1570.8,5904.0,서구,557415.0
인천계양경찰서,197.8,8.2,5.6,1081.4,4085.8,계양구,306817.0
인천강화경찰서,24.2,2.8,1.2,173.0,567.4,강화군,70037.0
인천연수경찰서,182.4,4.0,4.6,1207.2,3503.2,연수구,379727.0
인천삼산경찰서,265.0,7.4,4.6,1348.4,4697.4,부평구,526126.0
인천논현경찰서,90.33333333333333,1.6666666666666667,1.6666666666666667,534.6666666666666,1253.3333333333333,남동구,545131.0
인천미추홀경찰서,351.0,10.55,6.4,1947.3,6630.5, 미추홀구,418494.0
