관서명,주소,위도,경도
인천중부경찰서, 인천광역시 중구 제물량로 237,  37.4649035, 126.6357917
인천남동경찰서, 인천광역시 남동구 남동대로 668, 37.4289088, 126.7092016
인천부평경찰서, 인천광역시 부평구 길주로 511, 37.5092143, 126.6949479
인천서부경찰서, 인천광역시 서구 탁옥로 77, 37.543913, 126.67862194154489
인천계양경찰서, 인천광역시 계양구 계산새로 68, 37.5374438, 126.7286998
인천강화경찰서, 인천광역시 강화군 강화읍 동문안길 17, 37.7474167, 126.4870011
인천연수경찰서, 인천광역시 연수구 원인재로 138, 37.4029704, 126.6712539
인천삼산경찰서, 인천광역시 부평구 굴포로 104, 37.51093455, 126.73208222904194
인천논현경찰서, 인천광역시 남동구 논현고잔로 239, 37.4036476, 126.71540431978715
인천미추홀경찰서, 인천광역시 미추홀구 매소홀로 290번길 32, 37.4418426, 126.6538308
